beedrill,119,3570
girafaringf,60,2400
gourgeistsmall,59,1770
grimmsnarlgmax,130,3900
delphox,59,1770
shelmet,59,1770
dragonair,59,1770
frogadier,39,1560
doublade,63,1890
morgrem,40,1600
gengar,39,1560
seviper,59,1770
gyarados,59,1770
nuzleaf,29,1160
stratagem,80,2400
lombre,59,1770
grimmsnarl,63,2520
tranquill,21,840
manaphy,39,1560
rhyhornf,70,2800
zubat,39,1560
bidooff,40,1200
vivillonfancy,75,2250
dottler,50,2000
basculin,29,1160
sneasel,49,1470
pinsirmega,39,1560
cloyster,58,1740
garchompmega,59,1770
trumbeak,29,870
keldeo,39,1560
ariados,39,1560
golisopod,31,1280
grumpig,47,1410
greninjaash,118,3540
alcremierubyswirl,60,2400
swinub,108,3240
persian,49,1470
steenee,34,1020
yamaskgalar,135,5400
treecko,39,1560
tsareena,36,1560
farfetchdgalar,60,2400
gloomf,39,1560
amaura,87,2610
drakloak,60,1800
registeel,69,2070
protowattf,60,1800
cherrim,99,2970
mamoswinef,80,2400
salazzle,50,1500
drednawgmax,180,5400
throh,69,2070
alcremie,60,2400
scratchet,36,1440
banettemega,71,2130
wooper,79,2370
azelf,89,2670
indeedee,50,1500
plasmanta,80,2400
bunnelby,47,1410
sandslash,47,1410
whismur,49,1470
pumpkaboo,119,3570
quagsire,69,2070
seakingf,56,2240
charizard,47,1410
arceuswater,89,2670
starmie,56,1680
chromera,180,5400
chesnaught,59,1770
unownquestion,77,2310
combee,43,1290
joltik,39,1560
swampert,59,1770
dugtrio,59,1770
pikachugmax,100,3000
polteageistantique,90,2700
quilava,49,1470
linoonegalar,30,1200
scraggy,39,1560
togepi,47,1410
stufful,29,1160
golurk,79,2370
deerling,59,1770
floatzelf,49,1470
liepard,39,1560
thwackey,34,1360
typenull,53,1590
alcremiemintcreamclover,60,2400
kabuto,59,1770
shinxf,40,1200
alcremiecaramelswirlribbon,60,2400
petilil,38,1520
alcremielemoncreamstar,60,2400
sylveon,47,1410
