English Name,Translated Name
Adaptability,Adaptability
Aerilate,Aerilate
Aftermath,Aftermath
Air Lock,Air Lock
Analytic,Analytic
Anger Point,Anger Point
Anticipation,Anticipation
Arena Trap,Arena Trap
Aroma Veil,Aroma Veil
As One (Glastrier),As One (Glastrier)
As One (Spectrier),As One (Spectrier)
Aura Break,Aura Break
Bad Dreams,Bad Dreams
Ball Fetch,Ball Fetch
Battery,Battery
Battle Armor,Battle Armor
Battle Bond,Battle Bond
Beast Boost,Beast Boost
Berserk,Berserk
Big Pecks,Big Pecks
Blaze,Blaze
Bulletproof,Bulletproof
Cheek Pouch,Cheek Pouch
Chilling Neigh,Chilling Neigh
Chlorophyll,Chlorophyll
Clear Body,Clear Body
Cloud Nine,Cloud Nine
Color Change,Color Change
Comatose,Comatose
Competitive,Competitive
Compound Eyes,Compound Eyes
Contrary,Contrary
Corrosion,Corrosion
Cotton Down,Cotton Down
Curious Medicine,Curious Medicine
Cursed Body,Cursed Body
Cute Charm,Cute Charm
Damp,Damp
Dancer,Dancer
Dark Aura,Dark Aura
Dauntless Shield,Dauntless Shield
Dazzling,Dazzling
Defeatist,Defeatist
Defiant,Defiant
Delta Stream,Delta Stream
Desolate Land,Desolate Land
Disguise,Disguise
Download,Download
Dragon's Maw,Dragon's Maw
Drizzle,Drizzle
Drought,Drought
Dry Skin,Dry Skin
Early Bird,Early Bird
Effect Spore,Effect Spore
Electric Surge,Electric Surge
Emergency Exit,Emergency Exit
Fairy Aura,Fairy Aura
Filter,Filter
Flame Body,Flame Body
Flare Boost,Flare Boost
Flash Fire,Flash Fire
Flower Gift,Flower Gift
Flower Veil,Flower Veil
Fluffy,Fluffy
Forecast,Forecast
Forewarn,Forewarn
Friend Guard,Friend Guard
Frisk,Frisk
Full Metal Body,Full Metal Body
Fur Coat,Fur Coat
Gale Wings,Gale Wings
Galvanize,Galvanize
Gluttony,Gluttony
Gooey,Gooey
Gorilla Tactics,Gorilla Tactics
Grass Pelt,Grass Pelt
Grassy Surge,Grassy Surge
Grim Neigh,Grim Neigh
Gulp Missile,Gulp Missile
Guts,Guts
Harvest,Harvest
Healer,Healer
Heatproof,Heatproof
Heavy Metal,Heavy Metal
Honey Gather,Honey Gather
Huge Power,Huge Power
Hunger Switch,Hunger Switch
Hustle,Hustle
Hydration,Hydration
Hyper Cutter,Hyper Cutter
Ice Body,Ice Body
Ice Face,Ice Face
Ice Scales,Ice Scales
Illuminate,Illuminate
Illusion,Illusion
Immunity,Immunity
Imposter,Imposter
Infiltrator,Infiltrator
Innards Out,Innards Out
Inner Focus,Inner Focus
Insomnia,Insomnia
Intimidate,Intimidate
Intrepid Sword,Intrepid Sword
Iron Barbs,Iron Barbs
Iron Fist,Iron Fist
Justified,Justified
Keen Eye,Keen Eye
Klutz,Klutz
Leaf Guard,Leaf Guard
Levitate,Levitate
Libero,Libero
Light Metal,Light Metal
Lightning Rod,Lightning Rod
Limber,Limber
Liquid Ooze,Liquid Ooze
Liquid Voice,Liquid Voice
Long Reach,Long Reach
Magic Bounce,Magic Bounce
Magic Guard,Magic Guard
Magician,Magician
Magma Armor,Magma Armor
Magnet Pull,Magnet Pull
Marvel Scale,Marvel Scale
Mega Launcher,Mega Launcher
Merciless,Merciless
Mimicry,Mimicry
Minus,Minus
Mirror Armor,Mirror Armor
Misty Surge,Misty Surge
Mold Breaker,Mold Breaker
Moody,Moody
Motor Drive,Motor Drive
Moxie,Moxie
Multiscale,Multiscale
Multitype,Multitype
Mummy,Mummy
Natural Cure,Natural Cure
Neuroforce,Neuroforce
Neutralizing Gas,Neutralizing Gas
No Guard,No Guard
Normalize,Normalize
Oblivious,Oblivious
Overcoat,Overcoat
Overgrow,Overgrow
Own Tempo,Own Tempo
Parental Bond,Parental Bond
Pastel Veil,Pastel Veil
Perish Body,Perish Body
Pickpocket,Pickpocket
Pickup,Pickup
Pixilate,Pixilate
Plus,Plus
Poison Heal,Poison Heal
Poison Point,Poison Point
Poison Touch,Poison Touch
Power Construct,Power Construct
Power Spot,Power Spot
Power of Alchemy,Power of Alchemy
Prankster,Prankster
Pressure,Pressure
Primordial Sea,Primordial Sea
Prism Armor,Prism Armor
Propeller Tail,Propeller Tail
Protean,Protean
Psychic Surge,Psychic Surge
Punk Rock,Punk Rock
Pure Power,Pure Power
Queenly Majesty,Queenly Majesty
Quick Draw,Quick Draw
Quick Feet,Quick Feet
RKS System,RKS System
Rain Dish,Rain Dish
Rattled,Rattled
Receiver,Receiver
Reckless,Reckless
Refrigerate,Refrigerate
Regenerator,Regenerator
Ripen,Ripen
Rivalry,Rivalry
Rock Head,Rock Head
Rough Skin,Rough Skin
Run Away,Run Away
Sand Force,Sand Force
Sand Rush,Sand Rush
Sand Spit,Sand Spit
Sand Stream,Sand Stream
Sand Veil,Sand Veil
Sap Sipper,Sap Sipper
Schooling,Schooling
Scrappy,Scrappy
Screen Cleaner,Screen Cleaner
Serene Grace,Serene Grace
Shadow Shield,Shadow Shield
Shadow Tag,Shadow Tag
Shed Skin,Shed Skin
Sheer Force,Sheer Force
Shell Armor,Shell Armor
Shield Dust,Shield Dust
Shields Down,Shields Down
Simple,Simple
Skill Link,Skill Link
Slow Start,Slow Start
Slush Rush,Slush Rush
Sniper,Sniper
Snow Cloak,Snow Cloak
Snow Warning,Snow Warning
Solar Power,Solar Power
Solid Rock,Solid Rock
Soul-Heart,Soul-Heart
Soundproof,Soundproof
Speed Boost,Speed Boost
Stakeout,Stakeout
Stall,Stall
Stalwart,Stalwart
Stamina,Stamina
Stance Change,Stance Change
Static,Static
Steadfast,Steadfast
Steam Engine,Steam Engine
Steelworker,Steelworker
Steely Spirit,Steely Spirit
Stench,Stench
Sticky Hold,Sticky Hold
Storm Drain,Storm Drain
Strong Jaw,Strong Jaw
Sturdy,Sturdy
Suction Cups,Suction Cups
Super Luck,Super Luck
Surge Surfer,Surge Surfer
Swarm,Swarm
Sweet Veil,Sweet Veil
Swift Swim,Swift Swim
Symbiosis,Symbiosis
Synchronize,Synchronize
Tangled Feet,Tangled Feet
Tangling Hair,Tangling Hair
Technician,Technician
Telepahty,Telepahty
Telepathy,Telepathy
Teravolt,Teravolt
Thick Fat,Thick Fat
Tinted Lens,Tinted Lens
Torrent,Torrent
Tough Claws,Tough Claws
Toxic Boost,Toxic Boost
Trace,Trace
Transistor,Transistor
Triage,Triage
Truant,Truant
Turboblaze,Turboblaze
Unaware,Unaware
Unburden,Unburden
Unnerve,Unnerve
Unseen Fist,Unseen Fist
Victory Star,Victory Star
Vital Spirit,Vital Spirit
Vital spirit,Vital spirit
Volt Absorb,Volt Absorb
Wandering Spirit,Wandering Spirit
Water Absorb,Water Absorb
Water Bubble,Water Bubble
Water Compaction,Water Compaction
Water Veil,Water Veil
Weak Armor,Weak Armor
White Smoke,White Smoke
Wimp Out,Wimp Out
Wonder Guard,Wonder Guard
Wonder Skin,Wonder Skin
Zen Mode,Zen Mode
