English Name,Translated Name,Description
Ability Capsule,Ability Capsule,A capsule that allows a Pokemon with two Abilities to switch between these Abilities when it is used.
Ability Urge,Ability Urge,When used, it activates the Ability of an ally Pokemon.
Abomasite,Abomasite,Enables Abomasnow to Mega Evolve during battle.
Absolite,Absolite,Enables Absol to Mega Evolve during battle.
Absorb Bulb,Absorb Bulb,A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.
Adamant Orb,Adamant Orb,Increases the power of Dragon and Steel-type moves when held by Dialga.
Adventure Rules,Adventure Rules,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
Aerodactylite,Aerodactylite,Enables Aerodactyl to Mega Evolve during battle.
Aggronite,Aggronite,Enables Aggron to Mega Evolve during battle.
Aguav Berry,Aguav Berry,Restores HP if it's low, but may cause confusion.
One Time Air Balloon,One Time Air Balloon,When held by a Pokemon, the Pokemon will float into the air. When the holder is attacked, this item will burst.
Alakazite,Alakazite,Enables Alakazam to Mega Evolve during battle.
Ampharosite,Ampharosite,Enables Ampharos to Mega Evolve during battle.
Amulet Coin,Amulet Coin,An item to be held by a Pokemon. It doubles a battle's prize money if the holding Pokemon joins in.
Antidote,Antidote,A spray-type medicine. It lifts the effect of poison from one Pokemon.
Apicot Berry,Apicot Berry,Raises Special Defense when HP is low.
Armor Fossil,Armor Fossil,A fossil from a prehistoric Pokemon that lived on the land. It appears to be part of a collar.
Aspear Berry,Aspear Berry,If held by a Pokemon, it defrosts it.
Awakening,Awakening,A spray-type medicine. It awakens a Pokemon from the clutches of sleep.
Babiri Berry,Babiri Berry,Weakens a supereffective Steel-type attack against the holding Pokemon.
Balm Mushroom,Balm Mushroom,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
Banettite,Banettite,Enables Banette to Mega Evolve during battle.
Belue Berry,Belue Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Berry Juice,Berry Juice,A 100% pure juice made of Berries. It restores the HP of one Pokemon by just 20 points.
Big Mushroom,Big Mushroom,A large and rare mushroom. It is sought after by collectors.
Big Nugget,Big Nugget,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
Big Pearl,Big Pearl,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
Big Root,Big Root,Recovers more HP from HP-stealing moves.
Binding Band,Binding Band,A band that increases the power of binding moves when held.
Black Belt,Black Belt,Increases the power of Fighting-type moves.
Black Flute,Black Flute,A toy flute made from black glass. A maniac will buy it for a high price.
Black Sludge,Black Sludge,A held item that gradually restores the HP of Poison-type Pokemon. It inflicts damage on all other types.
Black Glasses,Black Glasses,Increases the power of Dark-type moves.
Blastoisinite,Blastoisinite,Enables Blastoise to Mega Evolve during battle.
Blazikenite,Blazikenite,Enables Blaziken to Mega Evolve during battle.
Blk Apricorn,Blk Apricorn,A black Apricorn It has an indescribable scent.
Blu Apricorn,Blu Apricorn,A blue Apricorn. It smells a bit like grass.
Blue Flute,Blue Flute,A toy flute made from blue glass. A maniac will buy it for a high price.
Blue Scarf,Blue Scarf,Raises holder's Beauty aspect in a Contest.
Blue Shard,Blue Shard,A small blue shard. It appears to be from some sort of implement made long ago.
Bluk Berry,Bluk Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
BrightPowder,BrightPowder,Lowers the opponent's accuracy.
Bug Gem,Bug Gem,Increases the power of a Bug-type move only once.
Burn Drive,Burn Drive,Changes Techno Blast to a Fire-type move when held by Genesect.
Burn Heal,Burn Heal,A spray-type medicine. It heals a single Pokemon that is suffering from a burn.
Calcium,Calcium,A nutritious drink for Pokemon. It raises the base Sp. Atk (Special Attack) stat of a single Pokemon.
Carbos,Carbos,A nutritious drink for Pokemon. It raises the base Speed stat of a single Pokemon.
Casteliacone,Casteliacone,Castelia City's specialty, soft-serve ice cream. It heals all the status problems of a single Pokemon.
Cell Battery,Cell Battery,A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.
Charcoal,Charcoal,Increases the power of Fire-type moves.
Charizardite X,Charizardite X,Enables Charizard to Mega Evolve during battle.
Charizardite Y,Charizardite Y,Enables Charizard to Mega Evolve during battle.
Charti Berry,Charti Berry,Weakens a supereffective Rock-type attack against the holding Pokemon.
Cheri Berry,Cheri Berry,If held by a Pokemon, it recovers from paralysis.
Cherish Ball,Cherish Ball,A quite rare Poke Ball that has been specially crafted to commemorate an occasion of some sort.
Chesto Berry,Chesto Berry,If held by a Pokemon, it recovers from sleep.
Chilan Berry,Chilan Berry,Weakens a Normal-type attack against the Pokemon holding this berry.
Chill Drive,Chill Drive,Changes Techno Blast to an Ice-type move when held by Genesect.
Choice Band,Choice Band,Raises Attack, but only one move can be used.
Choice Scarf,Choice Scarf,Raises Speed, but only one move can be used.
Choice Specs,Choice Specs,Raises Special Attack, but only one move can be used.
Chople Berry,Chople Berry,Weakens a supereffective Fighting-type attack against the holding Pokemon.
Claw Fossil,Claw Fossil,A fossil of an ancient Pokemon that lived in the sea. It appears to be part of a claw.
Cleanse Tag,Cleanse Tag,An item to be held by a Pokemon. It helps keep wild Pokemon away if the holder is the first one in the party.
Clever Wing,Clever Wing,Increases Special Defense EVs by 1.
Coba Berry,Coba Berry,Weakens a supereffective Flying-type attack against the holding Pokemon.
Colbur Berry,Colbur Berry,Weakens a supereffective Dark-type attack against the holding Pokemon.
Colress Machine,Colress Machine,A special device that wrings out the potential of Pokemon. It is an imperfect prototype.
Comet Shard,Comet Shard,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
Cornn Berry,Cornn Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Cover Fossil,Cover Fossil,A fossil of an ancient Pokemon that lived in the sea in ancient times. It appears to be part of its back.
One Time Custap Berry,One Time Custap Berry,Holder can move first when HP is low.
Damp Mulch,Damp Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Damp Rock,Damp Rock,A Pokemon held item that extends the duration of the move Rain Dance used by the holder.
Dark Gem,Dark Gem,Increases the power of a Dark-type move only once.
Dawn Stone,Dawn Stone,A peculiar stone that makes certain species of Pokemon evolve. It sparkles like eyes.
DeepSeaScale,DeepSeaScale,Increases Special Defense when held by Clamperl.
DeepSeaTooth,DeepSeaTooth,Increases Special Attack when held by Clamperl.
Destiny Knot,Destiny Knot,A long, thin, bright-red string to be held by a Pokemon. If the holder becomes infatuated, the foe does too.
Dire Hit,Dire Hit,Raises critical-hit ratio of a Pokemon in battle.
Dire Hit 2,Dire Hit 2,It can be used many times to raise the critical-hit ratio of one Pokemon. It wears off if the Pokemon is withdrawn.
Dire Hit 3,Dire Hit 3,It can be used many times to greatly raise a Pokemon's critical-hit ratio. It wears off if the Pokemon is withdrawn.
Dive Ball,Dive Ball,A somewhat different Poke Ball that works especially well on Pokemon that live underwater.
DNA Splicers,DNA Splicers,A splicer that fuses Kyurem and a certain Pokemon. They are said to have been one in the beginning.
Dome Fossil,Dome Fossil,A fossil of an ancient Pokemon that lived in the sea. It appears to be part of a shell.
Douse Drive,Douse Drive,Changes Techno Blast to a Water-type move when held by Genesect.
Draco Plate,Draco Plate,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.
Dragon Fang,Dragon Fang,Increases the power of Dragon-type moves.
Dragon Gem,Dragon Gem,Increases the power of a Dragon-type move only once.
Dragon Scale,Dragon Scale,A thick and tough scale. Dragon-type Pokemon may be holding this item when caught.
Dread Plate,Dread Plate,Increases power of Dark-type moves. Changes Arceus' type to Dark.
Dream Ball,Dream Ball,A special Poke Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokemon.
Dropped Item,Dropped Item,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
Dubious Disc,Dubious Disc,A transparent device overflowing with dubious data. Its producer is unknown.
Durin Berry,Durin Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Dusk Ball,Dusk Ball,A somewhat different Poke Ball that makes it easier to catch wild Pokemon at night or in dark places like caves.
Dusk Stone,Dusk Stone,A peculiar stone that makes certain species of Pokemon evolve. It is as dark as dark can be.
Earth Plate,Earth Plate,Increases power of Ground-type moves. Changes Arceus' type to Ground.
Eject Button,Eject Button,If the holder is hit by an attack, it will switch with another Pokemon in your party.
Electirizer,Electirizer,A box packed with a tremendous amount of electric energy. It is loved by a certain Pokemon.
Electric Gem,Electric Gem,Increases the power of an Electric-type move only once.
Elevator Key,Elevator Key,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
Elixir,Elixir,It restores the PP of all the moves learned by the targeted Pokemon by 10 points each.
Energy Root,Energy Root,A very bitter root. It restores the HP of one Pokemon by 200 points.
Energy Powder,Energy Powder,A very bitter medicine powder. It restores the HP of one Pokemon by 50 points.
Enigma Berry,Enigma Berry,If held by a Pokemon, it restores its HP if it is hit by any supereffective attack.
Escape Rope,Escape Rope,A long, durable rope. Use it to escape instantly from a cave or a dungeon.
Ether,Ether,It restores the PP of a Pokemon's selected move by a maximum of 10 points.
Everstone,Everstone,An item to be held by a Pokemon. The Pokemon holding this peculiar stone is prevented from evolving.
Eviolite,Eviolite,A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokemon that can still evolve.
Exp. Share,Exp. Share,An item to be held by a Pokemon. The holder gets a share of a battle's Exp. Points without battling.
Expert Belt,Expert Belt,Increases the power of super-effective moves.
Fairy Gem,Fairy Gem,Increases the power of a Fairy-type move only once.
Fast Ball,Fast Ball,A Poke Ball that makes it easier to catch Pokemon which are quick to run away.
Fighting Gem,Fighting Gem,Increases the power of a Fighting-type move only once.
Figy Berry,Figy Berry,Restores HP if it's low, but may cause confusion.
Fire Gem,Fire Gem,Increases the power of a Fire-type move only once.
Fire Stone,Fire Stone,A peculiar stone that makes certain species of Pokemon evolve. It is colored orange.
Fist Plate,Fist Plate,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.
Flame Orb,Flame Orb,An item to be held by a Pokemon. It is a bizarre orb that inflicts a burn on the holder in battle.
Flame Plate,Flame Plate,Increases power of Fire-type moves. Changes Arceus' type to Fire.
Float Stone,Float Stone,A very light stone. It reduces the weight of a Pokemon when held.
Fluffy Tail,Fluffy Tail,An item that attracts Pokemon. Use it to flee from any battle with a wild Pokemon.
Flying Gem,Flying Gem,Increases the power of a Flying-type move only once.
Focus Band,Focus Band,An item to be held by a Pokemon. The holder may endure a potential KO attack, leaving it with just 1 HP.
One Time Focus Sash,One Time Focus Sash,An item to be held by a Pokemon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.
Fresh Water,Fresh Water,Water with a high mineral content. It restores the HP of one Pokemon by 50 points.
Friend Ball,Friend Ball,A Poke Ball that makes caught Pokemon more friendly.
Full Heal,Full Heal,A spray-type medicine. It heals all the status problems of a single Pokemon.
Full Incense,Full Incense,An item to be held by a Pokemon. It is an exotic-smelling incense that makes the holder bloated and slow moving.
Full Restore,Full Restore,A medicine that fully restores the HP and heals any status problems of a single Pokemon.
Ganlon Berry,Ganlon Berry,Raises Defense when HP is low.
Garchompite,Garchompite,Enables Garchomp to Mega Evolve during battle.
Gardevoirite,Gardevoirite,Enables Gardevoir to Mega Evolve during battle.
Gengarite,Gengarite,Enables Gengar to Mega Evolve during battle.
Genius Wing,Genius Wing,Increases Special Attack EVs by 1.
Ghost Gem,Ghost Gem,Increases the power of a Ghost-type move only once.
Gooey Mulch,Gooey Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Grass Gem,Grass Gem,Increases the power of a Grass-type move only once.
Great Ball,Great Ball,A good, high-performance Ball that provides a higher Pokemon catch rate than a standard Poke Ball.
Green Scarf,Green Scarf,Raises holder's Smart aspect in a Contest.
Green Shard,Green Shard,A small green shard. It appears to be from some sort of implement made long ago.
Grepa Berry,Grepa Berry,Using it on a Pokemon makes it more friendly, but it also lowers its base Sp. Def stat.
Grip Claw,Grip Claw,A Pokemon held item that extends the duration of multiturn attacks like Bind and Wrap.
Griseous Orb,Griseous Orb,Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.
Grn Apricorn,Grn Apricorn,A green Apricorn. It has a mysterious, aromatic scent.
Ground Gem,Ground Gem,Increases the power of a Ground-type move only once.
Growth Mulch,Growth Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Grubby Hanky,Grubby Hanky,A handkerchief dropped by a regular at Caf Warehouse. It smells faintly like a Pokemon.
Guard Spec.,Guard Spec.,Prevents stat reduction for five turns.
Gyaradosite,Gyaradosite,Enables Gyarados to Mega Evolve during battle.
Haban Berry,Haban Berry,Weakens a supereffective Dragon-type attack against the holding Pokemon.
Hard Stone,Hard Stone,Increases the power of Rock-type moves.
Heal Ball,Heal Ball,A remedial Poke Ball that restores the caught Pokemon's HP and eliminates any status problem.
Heal Powder,Heal Powder,A very bitter medicine powder. It heals all the status problems of a single Pokemon.
Health Wing,Health Wing,Increases HP EVs by 1.
Heart Scale,Heart Scale,A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.
Heat Rock,Heat Rock,A Pokemon held item that extends the duration of the move Sunny Day used by the holder.
Heavy Ball,Heavy Ball,A Poke Ball for catching very heavy Pokemon.
Helix Fossil,Helix Fossil,A fossil of an ancient Pokemon that lived in the sea. It appears to be part of a seashell.
Heracronite,Heracronite,Enables Heracross to Mega Evolve during battle.
HM01,HM01,Teaches the move Cut.
HM02,HM02,Teaches the move Fly.
HM03,HM03,Teaches the move Surf.
HM04,HM04,Teaches the move Strength.
HM05,HM05,Teaches the move Defog.
HM06,HM06,Teaches the move Rock Smash.
HM07,HM07,Teaches the move Waterfall.
HM08,HM08,Teaches the move Rock Climb.
Holo Caster,Holo Caster,A device that allows users to receive and view hologram clips at any time. It is also used to chat with others.
Hondew Berry,Hondew Berry,Using it on a Pokemon makes it more friendly, but it also lowers its base Sp. Atk stat.
Honey,Honey,A sweet honey with a lush aroma that attracts wild Pokemon when it is used in grass, caves, or on special trees.
Honor Of Kalos,Honor Of Kalos,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
Houndoominite,Houndoominite,Enables Houndoom to Mega Evolve during battle.
HP Up,HP Up,A nutritious drink for Pokemon. It raises the base HP of a single Pokemon.
Hyper Potion,Hyper Potion,A spray-type medicine for wounds. It restores the HP of one Pokemon by 200 points.
Iapapa Berry,Iapapa Berry,Restores HP if it's low, but may cause confusion.
Ice Gem,Ice Gem,Increases the power of an Ice-type move only once.
Ice Heal,Ice Heal,A spray-type medicine. It defrosts a Pokemon that has been frozen solid.
Icicle Plate,Icicle Plate,Increases power of Ice-type moves. Changes Arceus' type to Ice.
Icy Rock,Icy Rock,A Pokemon held item that extends the duration of the move Hail used by the holder.
Insect Plate,Insect Plate,Increases power of Bug-type moves. Changes Arceus' type to Bug.
Intriguing Stone,Intriguing Stone,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.
Iron,Iron,A nutritious drink for Pokemon. It raises the base Defense stat of a single Pokemon.
Iron Ball,Iron Ball,A Pokemon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
Iron Plate,Iron Plate,Increases power of Steel-type moves. Changes Arceus' type to Steel.
Item Drop,Item Drop,When used, it causes an ally Pokemon to drop a held item.
Item Urge,Item Urge,When used, it causes an ally Pokemon to use its held item.
Jaboca Berry,Jaboca Berry,If held by a Pokemon and a physical attack lands, the attacker also takes damage.
Kangaskhanite,Kangaskhanite,Enables Kangaskhan to Mega Evolve during battle.
Kasib Berry,Kasib Berry,Weakens a supereffective Ghost-type attack against the holding Pokemon.
Kebia Berry,Kebia Berry,Weakens a supereffective Poison-type attack against the holding Pokemon.
Kelpsy Berry,Kelpsy Berry,Using it on a Pokemon makes it more friendly, but it also lowers its base Attack stat.
King's Rock,King's Rock,An item to be held by a Pokemon. When the holder inflicts damage, the target may flinch.
Lagging Tail,Lagging Tail,An item to be held by a Pokemon. It is tremendously heavy and makes the holder move slower than usual.
Lansat Berry,Lansat Berry,Increases critical-hit ratio when HP is low.
Lava Cookie,Lava Cookie,LAVARIDGE TOWN's local specialty. It heals all the status problems of one Pokemon.
Lax Incense,Lax Incense,An item to be held by a Pokemon. The tricky aroma of this incense may make attacks miss the holder.
Leaf Stone,Leaf Stone,A peculiar stone that makes certain species of Pokemon evolve. It has a leaf pattern.
Leftovers,Leftovers,An item to be held by a Pokemon. The holder's HP is gradually restored during battle.
Lemonade,Lemonade,A very sweet drink. It restores the HP of one Pokemon by 80 points.
Lens Case,Lens Case,A rather chic-looking case for carrying contact lenses.
Leppa Berry,Leppa Berry,If held by a Pokemon, it restores a move's PP by 10.
Level Ball,Level Ball,A Poke Ball for catching Pokemon that are a lower level than your own.
Liechi Berry,Liechi Berry,Raises Attack when HP is low.
Life Orb,Life Orb,Increases the power of moves, but loses HP each turn.
Light Ball,Light Ball,An item to be held by Pikachu. It is a puzzling orb that raises the Attack and Sp. Atk stat.
Light Clay,Light Clay,A Pokemon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
Looker Ticket,Looker Ticket,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.
Love Ball,Love Ball,Poke Ball for catching Pokemon that are the opposite gender of your Pokemon.
Lucarionite,Lucarionite,Enables Lucario to Mega Evolve during battle.
Luck Incense,Luck Incense,An item to be held by a Pokemon. It doubles a battle's prize money if the holding Pokemon joins in.
Lucky Egg,Lucky Egg,An item to be held by a Pokemon. It is an egg filled with happiness that earns extra Exp. Points in battle.
Lucky Punch,Lucky Punch,Increases critical-hit ratio when held by Chansey.
Lum Berry,Lum Berry,If held by a Pokemon, it recovers from any status problem.
Lure Ball,Lure Ball,A Poke Ball for catching Pokemon hooked by a Rod when fishing.
