English Name,Translated Name
Bulbasaur,Bulbasaur
Ivysaur,Ivysaur
Venusaur,Venusaur
Charmander,Charmander
Charmeleon,Charmeleon
Charizard,Charizard
Squirtle,Squirtle
Wartortle,Wartortle
Blastoise,Blastoise
Caterpie,Caterpie
Metapod,Metapod
Butterfree,Butterfree
Weedle,Weedle
Kakuna,Kakuna
Beedrill,Beedrill
Pidgey,Pidgey
Pidgeotto,Pidgeotto
Pidgeot,Pidgeot
Rattata,Rattata
Raticate,Raticate
Spearow,Spearow
Fearow,Fearow
Ekans,Ekans
Arbok,Arbok
Pikachu,Pikachu
Raichu,Raichu
Sandshrew,Sandshrew
Sandslash,Sandslash
Nidoran-F,Nidoran-F
Nidorina,Nidorina
Nidoqueen,Nidoqueen
Nidoran-M,Nidoran-M
Nidorino,Nidorino
Nidoking,Nidoking
Clefairy,Clefairy
Clefable,Clefable
Vulpix,Vulpix
Ninetales,Ninetales
Jigglypuff,Jigglypuff
Wigglytuff,Wigglytuff
Zubat,Zubat
Golbat,Golbat
Oddish,Oddish
Gloom,Gloom
Vileplume,Vileplume
Paras,Paras
Parasect,Parasect
Venonat,Venonat
Venomoth,Venomoth
Diglett,Diglett
Dugtrio,Dugtrio
Meowth,Meowth
Persian,Persian
Psyduck,Psyduck
Golduck,Golduck
Mankey,Mankey
Primeape,Primeape
Growlithe,Growlithe
Arcanine,Arcanine
Poliwag,Poliwag
Poliwhirl,Poliwhirl
Poliwrath,Poliwrath
Abra,Abra
Kadabra,Kadabra
Alakazam,Alakazam
Machop,Machop
Machoke,Machoke
Machamp,Machamp
Bellsprout,Bellsprout
Weepinbell,Weepinbell
Victreebel,Victreebel
Tentacool,Tentacool
Tentacruel,Tentacruel
Geodude,Geodude
Graveler,Graveler
Golem,Golem
Ponyta,Ponyta
Rapidash,Rapidash
Slowpoke,Slowpoke
Slowbro,Slowbro
Magnemite,Magnemite
Magneton,Magneton
Farfetch'd,Farfetch'd
Doduo,Doduo
Dodrio,Dodrio
Seel,Seel
Dewgong,Dewgong
Grimer,Grimer
Muk,Muk
Shellder,Shellder
Cloyster,Cloyster
Gastly,Gastly
Haunter,Haunter
Gengar,Gengar
Onix,Onix
Drowzee,Drowzee
Hypno,Hypno
Krabby,Krabby
Kingler,Kingler
Voltorb,Voltorb
Electrode,Electrode
Exeggcute,Exeggcute
Exeggutor,Exeggutor
Cubone,Cubone
Marowak,Marowak
Hitmonlee,Hitmonlee
Hitmonchan,Hitmonchan
Lickitung,Lickitung
Koffing,Koffing
Weezing,Weezing
Rhyhorn,Rhyhorn
Rhydon,Rhydon
Chansey,Chansey
Tangela,Tangela
Kangaskhan,Kangaskhan
Horsea,Horsea
Seadra,Seadra
Goldeen,Goldeen
Seaking,Seaking
Staryu,Staryu
Starmie,Starmie
Mr. Mime,Mr. Mime
Scyther,Scyther
Jynx,Jynx
Electabuzz,Electabuzz
Magmar,Magmar
Pinsir,Pinsir
Tauros,Tauros
Magikarp,Magikarp
Gyarados,Gyarados
Lapras,Lapras
Ditto,Ditto
Eevee,Eevee
Vaporeon,Vaporeon
Jolteon,Jolteon
Flareon,Flareon
Porygon,Porygon
Omanyte,Omanyte
Omastar,Omastar
Kabuto,Kabuto
Kabutops,Kabutops
Aerodactyl,Aerodactyl
Snorlax,Snorlax
Articuno,Articuno
Zapdos,Zapdos
Moltres,Moltres
Dratini,Dratini
Dragonair,Dragonair
Dragonite,Dragonite
Mewtwo,Mewtwo
Mew,Mew
Chikorita,Chikorita
Bayleef,Bayleef
Meganium,Meganium
Cyndaquil,Cyndaquil
Quilava,Quilava
Typhlosion,Typhlosion
Totodile,Totodile
Croconaw,Croconaw
Feraligatr,Feraligatr
Sentret,Sentret
Furret,Furret
Hoothoot,Hoothoot
Noctowl,Noctowl
Ledyba,Ledyba
Ledian,Ledian
Spinarak,Spinarak
Ariados,Ariados
Crobat,Crobat
Chinchou,Chinchou
Lanturn,Lanturn
Pichu,Pichu
Cleffa,Cleffa
Igglybuff,Igglybuff
Togepi,Togepi
Togetic,Togetic
Natu,Natu
Xatu,Xatu
Mareep,Mareep
Flaaffy,Flaaffy
Ampharos,Ampharos
Bellossom,Bellossom
Marill,Marill
Azumarill,Azumarill
Sudowoodo,Sudowoodo
Politoed,Politoed
Hoppip,Hoppip
Skiploom,Skiploom
Jumpluff,Jumpluff
Aipom,Aipom
Sunkern,Sunkern
Sunflora,Sunflora
Yanma,Yanma
Wooper,Wooper
Quagsire,Quagsire
Espeon,Espeon
Umbreon,Umbreon
Murkrow,Murkrow
Slowking,Slowking
Misdreavus,Misdreavus
Unown,Unown
Wobbuffet,Wobbuffet
Girafarig,Girafarig
Pineco,Pineco
Forretress,Forretress
Dunsparce,Dunsparce
Gligar,Gligar
Steelix,Steelix
Snubbull,Snubbull
Granbull,Granbull
Qwilfish,Qwilfish
Scizor,Scizor
Shuckle,Shuckle
Heracross,Heracross
Sneasel,Sneasel
Teddiursa,Teddiursa
Ursaring,Ursaring
Slugma,Slugma
Magcargo,Magcargo
Swinub,Swinub
Piloswine,Piloswine
Corsola,Corsola
Remoraid,Remoraid
Octillery,Octillery
Delibird,Delibird
Mantine,Mantine
Skarmory,Skarmory
Houndour,Houndour
Houndoom,Houndoom
Kingdra,Kingdra
Phanpy,Phanpy
Donphan,Donphan
Porygon2,Porygon2
Stantler,Stantler
Smeargle,Smeargle
Tyrogue,Tyrogue
Hitmontop,Hitmontop
Smoochum,Smoochum
Elekid,Elekid
Magby,Magby
Miltank,Miltank
Blissey,Blissey
Raikou,Raikou
Entei,Entei
Suicune,Suicune
Larvitar,Larvitar
Pupitar,Pupitar
Tyranitar,Tyranitar
Lugia,Lugia
Ho-Oh,Ho-Oh
Celebi,Celebi
Treecko,Treecko
Grovyle,Grovyle
Sceptile,Sceptile
Torchic,Torchic
Combusken,Combusken
Blaziken,Blaziken
Mudkip,Mudkip
Marshtomp,Marshtomp
Swampert,Swampert
Poochyena,Poochyena
Mightyena,Mightyena
Zigzagoon,Zigzagoon
Linoone,Linoone
Wurmple,Wurmple
Silcoon,Silcoon
Beautifly,Beautifly
Cascoon,Cascoon
Dustox,Dustox
Lotad,Lotad
Lombre,Lombre
Ludicolo,Ludicolo
Seedot,Seedot
Nuzleaf,Nuzleaf
Shiftry,Shiftry
Taillow,Taillow
Swellow,Swellow
Wingull,Wingull
Pelipper,Pelipper
Ralts,Ralts
Kirlia,Kirlia
Gardevoir,Gardevoir
Surskit,Surskit
Masquerain,Masquerain
Shroomish,Shroomish
Breloom,Breloom
Slakoth,Slakoth
Vigoroth,Vigoroth
Slaking,Slaking
Nincada,Nincada
Ninjask,Ninjask
Shedinja,Shedinja
Whismur,Whismur
Loudred,Loudred
Exploud,Exploud
Makuhita,Makuhita
Hariyama,Hariyama
Azurill,Azurill
Nosepass,Nosepass
Skitty,Skitty
Delcatty,Delcatty
Sableye,Sableye
Mawile,Mawile
Aron,Aron
Lairon,Lairon
Aggron,Aggron
Meditite,Meditite
Medicham,Medicham
Electrike,Electrike
Manectric,Manectric
Plusle,Plusle
Minun,Minun
Volbeat,Volbeat
